MUNICIPIO,DEPENDENCIA,LOCALIZACAO,TDI_AI,TDI_AF
Afogados da Ingazeira,Municipal,Urbana,6.3,12.3
Afogados da Ingazeira,Municipal,Rural,6.8,12.2
Afrânio,Municipal,Urbana,1.6,7.5
Afrânio,Municipal,Rural,1.3,6.8
Agrestina,Municipal,Urbana,10.8,19.9
Agrestina,Municipal,Rural,10.1,18.2
Água Preta,Municipal,Urbana,9.0,20.1
Água Preta,Municipal,Rural,6.3,20.0
Águas Belas,Estadual,Urbana,39.9,60.0
Águas Belas,Estadual,Rural,31.8,45.2
Águas Belas,Municipal,Urbana,11.9,19.5
Águas Belas,Municipal,Rural,7.8,14.7
Alagoinha,Municipal,Urbana,19.3,29.7
Alagoinha,Municipal,Rural,13.3,25.3
Aliança,Municipal,Urbana,14.9,30.8
Aliança,Municipal,Rural,8.1,19.4
Altinho,Municipal,Urbana,10.2,23.5
Altinho,Municipal,Rural,13.5,22.6
Amaraji,Municipal,Urbana,10.3,25.9
Amaraji,Municipal,Rural,5.7,24.0
Angelim,Municipal,Urbana,4.7,12.8
Angelim,Municipal,Rural,2.8,12.2
Araçoiaba,Municipal,Urbana,6.7,12.2
Araçoiaba,Municipal,Rural,1.1,12.2
Araripina,Municipal,Urbana,5.5,20.3
Araripina,Municipal,Rural,5.2,14.8
Arcoverde,Municipal,Urbana,6.4,12.1
Arcoverde,Municipal,Rural,1.1,13.0
Barra de Guabiraba,Municipal,Urbana,6.6,16.0
Barreiros,Municipal,Urbana,5.4,22.0
Barreiros,Municipal,Rural,5.8,22.4
Belém de Maria,Municipal,Urbana,3.3,8.7
Belém de Maria,Municipal,Rural,1.7,6.1
Belém do São Francisco,Municipal,Urbana,7.1,11.4
Belém do São Francisco,Municipal,Rural,6.0,17.9
Belo Jardim,Municipal,Urbana,21.2,34.6
Belo Jardim,Municipal,Rural,17.1,23.4
Betânia,Municipal,Urbana,4.4,12.0
Betânia,Municipal,Rural,4.6,12.6
Bezerros,Municipal,Urbana,6.9,23.6
Bezerros,Municipal,Rural,7.1,17.8
Bodocó,Municipal,Urbana,17.6,32.2
Bodocó,Municipal,Rural,8.8,24.7
Bom Conselho,Municipal,Urbana,8.5,23.7
Bom Conselho,Municipal,Rural,10.6,24.6
Bom Jardim,Municipal,Urbana,4.2,12.3
Bom Jardim,Municipal,Rural,1.4,8.6
Bonito,Municipal,Urbana,3.3,9.7
Bonito,Municipal,Rural,3.7,8.7
Brejão,Municipal,Urbana,8.7,25.3
Brejão,Municipal,Rural,8.8,24.5
Brejinho,Municipal,Urbana,3.3,8.7
Brejo da Madre de Deus,Municipal,Urbana,10.6,24.2
Buenos Aires,Municipal,Urbana,9.0,33.2
Buenos Aires,Municipal,Rural,7.4,16.1
Buíque,Estadual,Rural,27.7,43.6
Buíque,Municipal,Urbana,6.1,15.0
Buíque,Municipal,Rural,4.6,19.5
Cabo de Santo Agostinho,Municipal,Urbana,6.8,13.6
Cabo de Santo Agostinho,Municipal,Rural,6.5,15.8
Cabrobó,Estadual,Rural,5.9,15.9
Cabrobó,Municipal,Urbana,2.3,5.6
Cabrobó,Municipal,Rural,2.2,5.7
Cachoeirinha,Municipal,Urbana,7.0,23.6
Cachoeirinha,Municipal,Rural,6.1,16.1
Caetés,Municipal,Urbana,5.9,10.9
Calçado,Municipal,Urbana,3.7,11.9
Calumbi,Municipal,Urbana,5.5,10.5
Camaragibe,Municipal,Urbana,9.7,10.7
Camocim de São Félix,Municipal,Urbana,8.9,18.7
Camocim de São Félix,Municipal,Rural,12.0,21.6
Camutanga,Municipal,Urbana,6.3,18.7
Canhotinho,Municipal,Urbana,8.5,17.3
Canhotinho,Municipal,Rural,9.6,23.9
Capoeiras,Municipal,Urbana,3.1,10.7
Capoeiras,Municipal,Rural,1.3,8.6
Carnaíba,Municipal,Urbana,1.4,6.7
Carnaíba,Municipal,Rural,1.6,4.8
Carnaubeira da Penha,Estadual,Rural,22.3,40.5
Carnaubeira da Penha,Municipal,Urbana,3.6,15.6
Carnaubeira da Penha,Municipal,Rural,4.6,16.7
Carpina,Municipal,Urbana,6.8,22.0
Caruaru,Municipal,Urbana,15.7,26.0
Caruaru,Municipal,Rural,10.1,20.9
Casinhas,Municipal,Urbana,2.1,22.0
Casinhas,Municipal,Rural,3.7,13.4
Catende,Municipal,Urbana,10.9,34.3
Catende,Municipal,Rural,13.5,32.6
Cedro,Municipal,Urbana,11.4,20.6
Cedro,Municipal,Rural,4.3,9.7
Chã de Alegria,Municipal,Urbana,7.8,13.1
Chã Grande,Municipal,Urbana,19.2,43.4
Condado,Municipal,Urbana,10.9,22.1
Condado,Municipal,Rural,10.4,23.7
Correntes,Municipal,Urbana,13.1,26.9
Correntes,Municipal,Rural,11.1,18.2
Cortês,Municipal,Urbana,9.7,20.5
Cortês,Municipal,Rural,5.2,26.1
Cumaru,Municipal,Urbana,5.3,21.6
Cupira,Municipal,Urbana,4.3,15.1
Cupira,Municipal,Rural,2.6,11.4
Custódia,Municipal,Urbana,2.2,9.7
Custódia,Municipal,Rural,0.9,5.0
Dormentes,Municipal,Urbana,1.5,2.6
Dormentes,Municipal,Rural,0.6,6.7
Escada,Municipal,Urbana,9.4,17.6
Escada,Municipal,Rural,7.3,17.3
Exu,Municipal,Urbana,3.6,18.4
Exu,Municipal,Rural,2.2,13.2
Feira Nova,Municipal,Urbana,7.3,12.3
Feira Nova,Municipal,Rural,6.1,15.0
Fernando de Noronha,Estadual,Urbana,6.5,10.1
